DMA,Brand,Year,NielsenRating,LocalTeamInSB,PostRevenuePerWeek
511,BUDWEISER,2006,0.459,0,0.230333925
511,BUDWEISER,2007,0.426,0,0.237140225
511,BUDWEISER,2008,0.503,0,0.23566035
511,BUDWEISER,2009,0.467,0,0.262850088
511,BUDWEISER,2010,0.56,0,0.27721705
511,BUDWEISER,2011,0.529,0,0.260607238
511,COORS,2006,0.459,0,0.0750775
511,COORS,2007,0.426,0,0.079144238
511,COORS,2008,0.503,0,0.084864225
511,COORS,2009,0.467,0,0.091490963
511,COORS,2010,0.56,0,0.095234175
511,COORS,2011,0.529,0,0.09214285
511,CORONA,2006,0.459,0,0.1157175
511,CORONA,2007,0.426,0,0.109843075
511,CORONA,2008,0.503,0,0.107974025
511,CORONA,2009,0.467,0,0.099653113
511,CORONA,2010,0.56,0,0.106011488
511,CORONA,2011,0.529,0,0.0974186
511,MILLER,2006,0.459,0,0.15977395
511,MILLER,2007,0.426,0,0.164591325
511,MILLER,2008,0.503,0,0.170647625
511,MILLER,2009,0.467,0,0.171672375
511,MILLER,2010,0.56,0,0.173278113
511,MILLER,2011,0.529,0,0.1623998
511,OTHERBEER,2006,0.459,0,0.433402713
511,OTHERBEER,2007,0.426,0,0.471300488
511,OTHERBEER,2008,0.503,0,0.481546538
511,OTHERBEER,2009,0.467,0,0.5050082
511,OTHERBEER,2010,0.56,0,0.542600575
511,OTHERBEER,2011,0.529,0,0.529764813
514,BUDWEISER,2006,0.476,0,0.20816715
514,BUDWEISER,2007,0.468,0,0.201220325
514,BUDWEISER,2008,0.434,0,0.213311575
514,BUDWEISER,2009,0.504,0,0.239001563
514,BUDWEISER,2010,0.505,0,0.24540235
514,BUDWEISER,2011,0.527,0,0.248108213
514,COORS,2006,0.476,0,0.065102375
514,COORS,2007,0.468,0,0.074262063
514,COORS,2008,0.434,0,0.081298863
514,COORS,2009,0.504,0,0.084561913
514,COORS,2010,0.505,0,0.082969988
514,COORS,2011,0.527,0,0.087178425
514,CORONA,2006,0.476,0,0.010393938
514,CORONA,2007,0.468,0,0.0107272
514,CORONA,2008,0.434,0,0.012555925
514,CORONA,2009,0.504,0,0.011869
514,CORONA,2010,0.505,0,0.011917838
514,CORONA,2011,0.527,0,0.011162138
514,MILLER,2006,0.476,0,0.061902
514,MILLER,2007,0.468,0,0.0645674
514,MILLER,2008,0.434,0,0.071682263
514,MILLER,2009,0.504,0,0.069799375
514,MILLER,2010,0.505,0,0.0736208
514,MILLER,2011,0.527,0,0.0602196
514,OTHERBEER,2006,0.476,0,0.456499725
514,OTHERBEER,2007,0.468,0,0.449803838
